343,MF,wor,war,,60,,
344,MF,nu,noch,,60,,
345,MF,der,,,60,,
346,MF,abschluss,Abschluss,,60,,
347,MF,in,,,60,,
348,MF,maine,Maine,,60,,
349,MF,genau,,,60,,
350,MF,,,,,60,,218.9865040567524
351,MF,mhm,,,61,218.9865040567524,219.88650338845176
352,MF,und,,,62,219.88650338845176,
353,MF,bachelor,Bachelor,,62,,
354,MF,of,,,62,,
355,MF,education,Education,,62,,
356,MF,an,,,62,,
357,MF,der,,,62,,
358,MF,kirchlich-pädagogischen,,,62,,222.6931679710106
359,MF,gischen,,359,63,222.6931679710106,
360,MF,hochschule,,,63,,
361,MF,.,,,63,,223.46650073010048
362,MF,[1s],,,64,229.81316268401022,
363,MF,holzwirt,Holzwirt,,64,,
364,MF,und,,,64,,232.20649424015897
365,MF,sonderschullehrer,Sonderschullehrer,,65,232.20649424015897,
366,MF,.,,,65,,233.5464932451336
367,MF,sonderschullehrer,Sonderschullehrer,,66,236.79982416268402,
368,MF,ja,,,66,,
369,MF,,,,,66,,
370,MF,holzwirt,,,66,,
371,MF,nein,,,66,,
372,MF,.,,,66,,239.40648889375407
373,MF,[1,6s],,,67,244.99981807372288,
374,MF,naja,,,67,,
375,MF,ich,,,67,,
376,MF,bin,,,67,,
377,MF,lehrer,Lehrer,,67,,
378,MF,an,,,67,,
379,MF,einer,,,67,,
380,MF,allgemeinen,,,67,,
381,MF,sonderschule,Sonderschule,,67,,
382,MF,,,,,67,,249.30648154244741
383,MF,an,,,68,249.30648154244741,
384,MF,einem,,,68,,
385,MF,sonderpädagogischen,,,68,,
386,MF,zentrum,Zentrum,,68,,
387,MF,ah/,,,68,,252.40647924052303
388,MF,{franklinstraße},Franklinstraße,,69,252.40647924052303,
389,MF,floridsdorf,Floridsdorf,,69,,
390,MF,,,,,69,,254.89981072241622
391,MF,[1,5s],,,70,254.89981072241622,
392,MF,da,,,70,,
393,MF,unterricht,unterrichte,,70,,
394,MF,ich,,,70,,
395,MF,fast,,,70,,
396,MF,alle,,,70,,
397,MF,gegenstände,Gegenstände,,70,,
398,MF,,,,,70,,258.64647460697216
399,MF,[1,2s],,,71,259.1998075294244,
400,MF,also,,,71,,
401,MF,außer,,,71,,
402,MF,religion,Religion,,71,,
403,MF,,,,,71,,261.9998054502669
404,MF,außer,,,72,261.9998054502669,
405,MF,kochen,außer,,,72,,263.1931378974832
406,MF,außer,,406,73,263.1931378974832,
407,MF,textiles,,,73,,
408,MF,werken,Werken,,73,,
409,MF,,,,,73,,264.90646995857014
410,MF,awa,aber,,74,264.90646995857014,
411,MF,sonst,,,74,,
412,MF,eigentlich,,,74,,
413,MF,fast,,,74,,
414,MF,alles,,,74,,
415,MF,.,,,74,,266.71980194540146
416,MF,[1s],,,75,270.99979876726087,
417,MF,ja,,,75,,
418,MF,und,,,75,,
419,MF,nein,,,75,,
420,MF,,,,,75,,273.6197968217635
421,MF,[1s],,,76,273.6197968217635,
422,MF,naja,,,76,,
423,MF,s/,#,,76,,
424,MF,es,,,76,,
425,MF,ist/,,,76,,276.11312830365665
426,MF,es,,,77,276.11312830365665,
427,MF,ist,,,77,,
428,MF,wichtig,,,77,,
429,MF,,,,,77,,277.18646083997965
430,MF,aber/,,,78,277.18646083997965,278.30646000831666
431,MF,ah,,,79,278.30646000831666,
432,MF,die,,,79,,
433,MF,kinder,Kinder,,79,,
434,MF,,,,,79,,279.2569280525401
435,MF,die,,,80,279.2569280525401,
436,MF,dort,,,80,,
437,MF,zu-r,,,80,,
438,MF,schule,der,,80,,
439,MF,gehen,Schule,,80,,
440,MF,,,,,80,,281.2664578103502
441,MF,ah,,,81,281.2664578103502,
442,MF,sind,,,81,,
443,MF,halt,,,81,,
444,MF,ein,,,81,,
445,MF,unteres,,,81,,
446,MF,niveau,Niveau,,81,,
447,MF,?,,,81,,284.8064551817011
448,MF,geistig,,,82,284.8064551817011,
449,MF,ah,,,82,,
450,MF,entwicklungsmäßig,,,82,,
451,MF,,,,,82,,
452,MF,verhaltensmäßig,,,82,,
453,MF,,,,,82,,288.4931191108104
454,MF,[1s],,,83,288.4931191108104,
455,MF,und,,,83,,
456,MF,jetzt,,,83,,
457,MF,ist,,,83,,
458,MF,die,,,83,,
459,MF,sprache,Sprache,,83,,
460,MF,,,,,83,,291.13038277749246
461,MF,wie,,,84,291.13038277749246,
462,MF,soll,,,84,,
463,MF,ich,,,84,,
464,MF,sagen,,,84,,
465,MF,,,,,84,,292.13311640790585
466,MF,n/,#,,85,292.13311640790585,
467,MF,nicht,,,85,,
468,MF,so,,,85,,
469,MF,hundertprozentig,,,85,,
470,MF,wichtig,,,85,,
471,MF,,,,,85,,295.086447548223
